bam,prop. sites covered >5x
Pool_13_S13_L002_R1_001_TGGT.trim.bt2.bam,0.677139461
Pool_10_Jaskiel_Lane2_S10_L004_R1_001_AGTG.trim.bt2.bam,0.678811521
Pool_10_S10_L002_R1_001_TCAC.trim.bt2.bam,0.679260337
Pool_12_S12_L002_R1_001_ACCA.trim.bt2.bam,0.680746
Pool_19_S3_L001_R1_001_TCAC.trim.bt2.bam,0.68181484
Pool_9_S9_L002_R1_001_TCAG.trim.bt2.bam,0.682003479
Pool_9_Jaskiel_Lane2_S9_L004_R1_001_TGTC.trim.bt2.bam,0.682241189
Pool_9_S9_L002_R1_001_AGAC.trim.bt2.bam,0.683234122
Pool_24_S8_L001_R1_001_TCAC.trim.bt2.bam,0.684959397
Pool_18_S2_L001_R1_001_CATC.trim.bt2.bam,0.685127313
Pool_11_S11_L002_R1_001_TCAC.trim.bt2.bam,0.687396828
Pool_9_S9_L002_R1_001_GTGA.trim.bt2.bam,0.6880162
Pool_22_S6_L001_R1_001_GTGA.trim.bt2.bam,0.688183312
Pool_19_S3_L001_R1_001_AGTG.trim.bt2.bam,0.690101876
Pool_14_S14_L002_R1_001_GTGA.trim.bt2.bam,0.6907993
Pool_10_Jaskiel_Lane2_S10_L004_R1_001_CTAC.trim.bt2.bam,0.691597161
Pool_18_S2_L001_R1_001_GCTT.trim.bt2.bam,0.69251033
Pool_11_S11_L002_R1_001_CATC.trim.bt2.bam,0.692983633
Pool_3_Jaskiel_Lane1_S3_L003_R1_001_TCAC.trim.bt2.bam,0.693505789
Pool_11_S11_L002_R1_001_TCAG.trim.bt2.bam,0.693736109
Pool_14_S14_L002_R1_001_AGAC.trim.bt2.bam,0.693798877
Pool_16_S16_L002_R1_001_GCTT.trim.bt2.bam,0.694371029
Pool_3_Jaskiel_Lane1_S3_L003_R1_001_CATC.trim.bt2.bam,0.697204741
Pool_18_S2_L001_R1_001_GTGA.trim.bt2.bam,0.697858601
Pool_1_S1_L001_R1_001_TCAC.trim.bt2.bam,0.698746079
Pool_16_S16_L002_R1_001_AGTG.trim.bt2.bam,0.700968726
Pool_2_S2_L001_R1_001_TGTC.trim.bt2.bam,0.701298705
Pool_19_S3_L001_R1_001_GCTT.trim.bt2.bam,0.704434143
Pool_1_S1_L001_R1_001_TCAG.trim.bt2.bam,0.704454849
Pool_20_S4_L001_R1_001_TCAC.trim.bt2.bam,0.706489089
Pool_10_Jaskiel_Lane2_S10_L004_R1_001_AGAC.trim.bt2.bam,0.708463619
Pool_7_S7_L001_R1_001_TCAG.trim.bt2.bam,0.708789873
Pool_1_Jaskiel_Lane1_S1_L003_R1_001_GCTT.trim.bt2.bam,0.709183723
Pool_16_S16_L002_R1_001_TGGT.trim.bt2.bam,0.709792651
Pool_2_Jaskiel_Lane1_S2_L003_R1_001_TCAG.trim.bt2.bam,0.710609407
Pool_2_Jaskiel_Lane1_S2_L003_R1_001_ACCA.trim.bt2.bam,0.711119957
Pool_9_S9_L002_R1_001_TGGT.trim.bt2.bam,0.711435167
Pool_9_Jaskiel_Lane2_S9_L004_R1_001_TCAG.trim.bt2.bam,0.713532666
Pool_5_Jaskiel_Lane1_S5_L003_R1_001_TGTC.trim.bt2.bam,0.714050309
Pool_17_S1_L001_R1_001_ACCA.trim.bt2.bam,0.714122923
Pool_3_Jaskiel_Lane1_S3_L003_R1_001_TCAG.trim.bt2.bam,0.715093026
Pool_3_Jaskiel_Lane1_S3_L003_R1_001_TGTC.trim.bt2.bam,0.716304234
Pool_22_S6_L001_R1_001_AGAC.trim.bt2.bam,0.717780184
Pool_12_Jaskiel_Lane2_S12_L004_R1_001_CATC.trim.bt2.bam,0.71865552
Pool_8_S8_L001_R1_001_GTGA.trim.bt2.bam,0.719138928
Pool_2_S2_L001_R1_001_GCTT.trim.bt2.bam,0.721225379
Pool_13_S13_L002_R1_001_AGAC.trim.bt2.bam,0.721329738
Pool_14_S14_L002_R1_001_TGGT.trim.bt2.bam,0.722927492
Pool_10_S10_L002_R1_001_GTGA.trim.bt2.bam,0.723752658
Pool_2_Jaskiel_Lane1_S2_L003_R1_001_TGTC.trim.bt2.bam,0.723809286
Pool_5_S5_L001_R1_001_CTAC.trim.bt2.bam,0.7238861
Pool_12_S12_L002_R1_001_GCTT.trim.bt2.bam,0.725531703
Pool_15_S15_L002_R1_001_ACCA.trim.bt2.bam,0.727858501
Pool_1_Jaskiel_Lane1_S1_L003_R1_001_TGGT.trim.bt2.bam,0.729453258
Pool_19_S3_L001_R1_001_GTGA.trim.bt2.bam,0.730542139
Pool_5_Jaskiel_Lane1_S5_L003_R1_001_TCAC.trim.bt2.bam,0.732239479
Pool_9_S9_L002_R1_001_TCAC.trim.bt2.bam,0.734090176
Pool_10_Jaskiel_Lane2_S10_L004_R1_001_TGGT.trim.bt2.bam,0.734317486
Pool_4_Jaskiel_Lane1_S4_L003_R1_001_TGTC.trim.bt2.bam,0.736036587
Pool_6_Jaskiel_Lane1_S6_L003_R1_001_TCAC.trim.bt2.bam,0.736707999
Pool_2_S2_L001_R1_001_TGGT.trim.bt2.bam,0.739229531
Pool_7_S7_L001_R1_001_AGAC.trim.bt2.bam,0.74041707
Pool_6_Jaskiel_Lane1_S6_L003_R1_001_CATC.trim.bt2.bam,0.742685308
Pool_15_S15_L002_R1_001_AGTG.trim.bt2.bam,0.745570185
Pool_5_S5_L001_R1_001_GCTT.trim.bt2.bam,0.74738071
Pool_16_S16_L002_R1_001_GTGA.trim.bt2.bam,0.747946643
Pool_17_S1_L001_R1_001_GACT.trim.bt2.bam,0.749510123
Pool_5_S5_L001_R1_001_TCAG.trim.bt2.bam,0.74980744
Pool_9_S9_L002_R1_001_CTAC.trim.bt2.bam,0.750323011
Pool_8_S8_L001_R1_001_TGGT.trim.bt2.bam,0.750525547
Pool_17_S1_L001_R1_001_GTGA.trim.bt2.bam,0.750704921
Pool_3_S3_L001_R1_001_GCTT.trim.bt2.bam,0.752549442
Pool_6_S6_L001_R1_001_TGGT.trim.bt2.bam,0.7529346
Pool_15_S15_L002_R1_001_GTGA.trim.bt2.bam,0.753822781
Pool_6_S6_L001_R1_001_GCTT.trim.bt2.bam,0.754124227
Pool_11_Jaskiel_Lane2_S11_L004_R1_001_TGGT.trim.bt2.bam,0.75542168
Pool_11_S11_L002_R1_001_GTGA.trim.bt2.bam,0.757257365
Pool_5_Jaskiel_Lane1_S5_L003_R1_001_GCTT.trim.bt2.bam,0.757585186
Pool_2_S2_L001_R1_001_ACCA.trim.bt2.bam,0.757675704
Pool_19_S3_L001_R1_001_AGAC.trim.bt2.bam,0.760112235
Pool_11_Jaskiel_Lane2_S11_L004_R1_001_TGTC.trim.bt2.bam,0.762756152
